waterYear,site_no,rbi
1971,01011000,0.105284889120045
1971,01013500,0.055096511013347
1971,01017000,0.108985063524491
1971,01019000,0.0402266494742386
1971,01022500,0.129271214870092
1971,01030500,0.0716800895563832
1971,01031500,0.221377023600546
1971,01034500,0.072727357878641
1971,01038000,0.102632986173003
1971,01042500,0.273185779577778
1971,01046500,0.092527825998162
1971,01047000,0.263296363367868
1971,01052500,0.24266513936617
1971,01053500,0.040742344145329
1971,01054000,0.048317072032118
1971,01054200,0.335120054010199
1971,01054500,0.11090609505152
1971,01055000,0.323633984869501
1971,01057000,0.251450625792579
1971,01059000,0.187001974112865
1971,01064500,0.224916090078941
1971,01066000,0.05537611975124
1971,01073000,0.173544131580865
1971,01073500,0.0987601474419258
1971,01076500,0.223083141679226
1971,01078000,0.176217522544972
1971,01081000,0.0544333187600545
1971,01092000,0.12248150296671
1971,01094500,0.166677852348993
1971,01096000,0.162403233937074
1971,01096500,0.321449093486909
1971,01097000,0.0824192799531912
1971,01097300,0.151261366668719
1971,01099500,0.0476000280666908
1971,01100000,0.0998781486586365
1971,01100600,0.127621944749036
1971,01101000,0.0549048258117798
1971,01102000,0.0583338718826968
1971,01102500,0.241352399508392
1971,01103500,0.0630832400149309
1971,01104200,0.058189569252604
1971,01104500,0.0683958659125916
1971,01105000,0.176085717404223
1971,01105500,0.186963169049666
1971,01105600,0.314477528439112
1971,01105730,0.255735607022782
1971,01109000,0.116222004533057
1971,01109060,0.096285154686029
1971,01110000,0.10525743981603
1971,01111500,0.151192930179399
1971,01112500,0.122535198498681
1971,01114500,0.11928667049149
1971,01116000,0.208891045006505
1971,01117000,0.244173492449652
1971,01117500,0.074896784322847
1971,01118000,0.128141028403948
1971,01118300,0.265784208588761
1971,01118500,0.0837474245545994
1971,01119500,0.1812348757058
1971,01121000,0.3153776317496
1971,01122500,0.169630760168153
1971,01123000,0.230578303583372
1971,01129200,0.106630177882821
1971,01134500,0.219450414491864
1971,01135500,0.198949319379543
1971,01137500,0.269160015428894
1971,01139000,0.194590657016637
1971,01139800,0.238536066980583
1971,01144000,0.181159933724302
1971,01151500,0.174274575021376
1971,01152500,0.174677998111426
1971,01154500,0.193478001146535
1971,01161000,0.110104015665929
1971,01162000,0.109299808892266
1971,01162500,0.147710544665685
1971,01163200,0.126058656015385
1971,01166500,0.0985464682735439
1971,01169000,0.253448862964708
1971,01169900,0.263100016110166
1971,01170100,0.237496239255696
1971,01170500,0.175109368212185
1971,01171500,0.226173270809722
1971,01173500,0.113552009860987
1971,01174500,0.149681157392835
1971,01177000,0.114663992890185
1971,01181000,0.271326512912706
1971,01183500,0.191019465234406
1971,01184000,0.122909645305156
1971,01185500,0.199421090116746
1971,01187300,0.315315785938701
1971,01196500,0.18275543451831
1971,01197000,0.228214132148488
1971,01197500,0.122195680240499
1971,01200500,0.11504682337231
1971,01205500,0.281940254938212
1971,01208500,0.248937857762092
1971,01208990,0.238072140739885
1971,01209700,0.329664969177164
1971,01305000,0.0509803921568627
1971,01305500,0.0755000835794283
1971,01311500,1.56773457902674
1971,01315000,0.0497346992079217
1971,01315500,0.120594424386704
1971,01318500,0.0955112939925499
1971,01321000,0.170458404074703
1971,01325000,0.312807255935218
1971,01331500,0.180616365568544
1971,01332500,0.21311494359164
1971,01333000,0.21044649493592
1971,01334000,0.218949267078221
1971,01334500,0.211784273353725
1971,01336000,0.0794567253390205
1971,01346000,0.133500742475643
1971,01347000,0.132561369779655
1971,01350000,0.327929810752309
1971,01351500,0.255478922685949
1971,01357500,0.178866035402404
1971,01362200,0.226538580823704
1971,01362500,0.188521093992348
1971,01365000,0.244332075113358
1971,01371500,0.197401886262275
1971,01372500,0.179624350461894
1971,01375000,0.206003014118207
1971,01376800,0.255087879669257
1971,01377000,0.308299472233899
1971,01377500,0.424324021092786
1971,01378500,0.829722639785422
1971,01379000,0.291846167225584
1971,01379500,0.223944151902986
1971,01381000,0.313871252913285
1971,01381500,0.418518518518519
1971,01383500,0.197984642111564
1971,01387500,0.291030982138582
1971,01388000,0.287048931449258
1971,01388500,0.262040125027951
1971,01389500,0.161887101735788
1971,01391500,0.545490267990465
1971,01393450,1.09556302368355
1971,01394500,1.09836897484082
1971,01395000,0.953239779033812
1971,01396500,0.319481655640002
1971,01397000,0.348711972738669
1971,01398000,0.907638103235693
1971,01399500,0.203671851476041
1971,01400000,0.527618374558304
1971,01400500,0.45810295116489
1971,01401000,0.775878601222598
1971,01402000,0.535492775754728
1971,01403060,0.517549537212864
1971,01405400,0.349239500567537
1971,01407500,0.611171605486829
1971,01407705,0.711364810668504
1971,01407760,0.771445806082926
1971,01408000,0.44383445945946
1971,01408500,0.122136837806734
1971,01409400,0.138681860962023
1971,01410000,0.160536118132234
1971,01411000,0.102872945152865
1971,01411500,0.119143394111247
1971,01413500,0.224448382302504
1971,01414500,0.254942767950052
1971,01415000,0.243919446476888
1971,01417000,0.244461417448502
1971,01420500,0.280017199828002
1971,01421000,0.233919008886445
1971,01423000,0.218806738344464
1971,01425000,0.167007559357629
1971,01426500,0.169219731637323
1971,01428500,0.19118884537573
1971,01429000,0.175764715884593
1971,01429500,0.29560626245096
1971,01431500,0.221988835272968
1971,01434000,0.173074517847762
1971,01435000,0.295754960649063
1971,01436000,0.0769694485302983
1971,01437500,0.15091285123377501
1971,01438500,0.159675067467572
1971,01439500,0.173847762256429
1971,01440000,0.234831142215536
1971,01440400,0.207618196415857
1971,01442500,0.212235742922237
1971,01443900,0.209167718292493
1971,01445500,0.170029509129855
1971,01446500,0.13963889224085901
1971,01447500,0.198151238168367
1971,01447680,0.148519576791724
1971,01447720,0.196852643818608
1971,01447800,0.216409762221564
1971,01449360,0.150936755468919
1971,01449800,0.194535857057667
1971,01450500,0.212350252442267
1971,01451000,0.18379796096002
1971,01451500,0.221452271855179
1971,01451800,0.41707561342013
1971,01452000,0.350868626162081
1971,01452500,0.138129867894488
1971,01453000,0.20072644986569
1971,01457000,0.160964523490692
1971,01459500,0.809093731041847
1971,01463500,0.144564196509109
1971,01464000,0.395976813068997
1971,01464500,0.414727778276079
1971,01465798,1.02810826989925
1971,01466500,0.103002442177848
1971,01467000,0.170828874804511
1971,01467048,0.675740424639894
1971,01467150,0.676672630951128
1971,01469500,0.224193976383176
1971,01470500,0.234677264053501
1971,01470960,0.285151782008847
1971,01471000,0.25907777668341
1971,01472000,0.262185537045106
1971,01472157,0.500499722376457
1971,01473000,0.724037482175596
1971,01474000,0.6886525777359
1971,01474500,0.379242315037432
1971,01477120,0.536778766029858
1971,01477800,1.30611196712892
1971,01478000,0.791138533981469
1971,01479000,0.603859206826336
1971,01480000,0.576215022091311
1971,01480300,0.679944999799269
1971,01480675,0.553673849716839
1971,01480700,0.548675610595115
1971,01481000,0.43314231617536
1971,01481500,0.444915582799052
1971,01483200,0.606911520101692
1971,01483700,0.413332544093431
1971,01484100,0.238629641229078
1971,01485500,0.23060137268527
1971,01487000,0.155402270407374
1971,01491000,0.336556452048538
1971,01495000,0.616593916246078
1971,01500000,0.30408992390621
1971,01503000,0.155257690068514
1971,01510000,0.2297938456084
1971,01512500,0.158487299216378
1971,01516500,0.426090758486797
1971,01518000,0.332560841166918
1971,01520000,0.377987492486789
1971,01521500,0.510208025129349
1971,01523500,0.474262703914705
1971,01524500,0.398934908122644
1971,01526500,0.346344924235789
1971,01529500,0.22414011930448
1971,01531000,0.295928412302359
1971,01531500,0.179890809221351
1971,01532000,0.375763658378259
1971,01534000,0.32095595245662
1971,01534300,0.16522167736717
1971,01534500,0.151404745826594
1971,01536000,0.202618467469178
1971,01536500,0.166079446055223
1971,01538000,0.2530071255068
1971,01539000,0.224119084757004
1971,01540500,0.143847018224132
1971,01541000,0.28869432909094
1971,01541200,0.259210963484822
1971,01541500,0.245023097228333
1971,01542810,0.405776763830532
1971,01543000,0.294266014602255
1971,01543500,0.239437891607274
1971,01544000,0.231247427951465
1971,01544500,0.219635451306092
1971,01545000,0.233446392870287
1971,01545500,0.181516051339181
1971,01545600,0.178443426795516
1971,01546500,0.0927449918787223
1971,01547100,0.0741177224108115
1971,01547200,0.20219170379606
1971,01547500,0.168720578443855
1971,01547700,0.254293141299907
1971,01547950,0.156053492273234
1971,01548500,0.219856233312795
1971,01549500,0.398932109780485
1971,01549700,0.235672807189951
1971,01550000,0.285130106915599
1971,01551500,0.171118848992233
1971,01552500,0.296552579526983
1971,01553500,0.165961390534798
1971,01554000,0.14080453637791
1971,01555000,0.171793145654835
1971,01555500,0.291802997112718
1971,01556000,0.297223063818374
1971,01557500,0.227023293561031
1971,01558000,0.205307702279756
1971,01559000,0.221435537469916
1971,01560000,0.320086429691141
1971,01562000,0.258366885148502
1971,01563200,0.249079752467759
1971,01563500,0.210195272054961
1971,01564500,0.379262989610887
1971,01567000,0.180551513770314
1971,01567500,0.267658438959306
1971,01568000,0.319974509101047
1971,01570000,0.220145507344877
1971,01571500,0.159413650939075
1971,01573000,0.344341268692921
1971,01574000,0.421853795979768
1971,01574500,0.29644236743294
1971,01576500,0.325697023097741
1972,01011000,0.100675809192586
1972,01013500,0.0525077254614947
1972,01017000,0.132173692598122
1972,01019000,0.0510068551842331
1972,01022500,0.215649141792166
1972,01030500,0.0923982625967717
1972,01031500,0.218954477063578
1972,01034500,0.0837471757921833
1972,01038000,0.1558146560888
1972,01042500,0.309011951414655
1972,01046500,0.141162356882362
1972,01047000,0.208044500589166
1972,01052500,0.246434213061067
1972,01053500,0.0546830652790918
1972,01054000,0.0606440543750825
1972,01054200,0.284630675873614
1972,01054500,0.0998888093461076
1972,01055000,0.293725366996059
1972,01057000,0.223179204125491
1972,01059000,0.167100550812246
1972,01064500,0.188732277536019
1972,01066000,0.0546901974445683
1972,01073000,0.23630399125205
1972,01073500,0.129033844942936
1972,01076500,0.231998767777378
1972,01078000,0.180830676763156
1972,01081000,0.069276028424278
1972,01092000,0.12381298844663
1972,01094500,0.206851419791726
1972,01096000,0.205913430269656
1972,01096500,0.235473404216222
1972,01097000,0.154789973138145
1972,01097300,0.224123213871095
1972,01099500,0.0549802582803152
1972,01100000,0.102276255291468
1972,01100600,0.249615599664523
1972,01101000,0.0834284724890026
1972,01102000,0.0791721924746416
1972,01102500,0.347436810265838
1972,01103500,0.0757819704044145
1972,01104200,0.0754645586384463
1972,01104500,0.0913398692810457
1972,01105000,0.198542590115491
1972,01105500,0.215125353624037
1972,01105600,0.387631696296655
1972,01105730,0.291296408015522
1972,01109000,0.141364939128606
1972,01109060,0.134372670996395
1972,01110000,0.139256025501103
1972,01111500,0.241326500559581
1972,01112500,0.190917966214357
1972,01114500,0.177611569734964
1972,01116000,0.231891926830845
1972,01117000,0.238772751755607
1972,01117500,0.0743012243012243
1972,01118000,0.154244215106877
1972,01118300,0.315820017409924
1972,01118500,0.0961053365323516
1972,01119500,0.278432676323914
1972,01121000,0.402598395943967
1972,01122500,0.197309099863516
1972,01123000,0.376600916793999
1972,01129200,0.111110611268062
